Time (min),Temperature (°C),Weight (mg),Heat Flow (mW),Temperature Difference (°C),Temperature Difference (µV),Sample Purge Flow (mL/min),Deriv. Weight (%/°C),Deriv. Heat Flow (W/(g·°C))
0.446,24.9173,8.613438,-4.530098,-0.2223736,-1.395936,99.94174,0.007673382,0.009876968
0.4543334,24.92322,8.613408,-4.527386,-0.2219876,-1.393553,100.0362,0.007673019,0.009876474
0.4626666,24.93341,8.613364,-4.52448,-0.2215748,-1.391,99.99481,0.007672393,0.009875622
0.471,24.94568,8.613329,-4.521772,-0.2211891,-1.388621,100.0011,0.007613919,0.009793449
0.4876666,24.9612,8.61329,-4.51586,-0.2203475,-1.383427,100.0078,0.007613144,0.009792182
0.496,24.9722,8.613278,-4.512776,-0.2199086,-1.380718,99.99391,0.007612592,0.009791281
0.5043333,24.98324,8.61325,-4.509618,-0.2194585,-1.377942,100.0011,0.007555238,0.009710149
0.5126667,24.98938,8.613209,-4.50635,-0.2189934,-1.375071,99.9912,0.007554989,0.009709644
0.521,25.00516,8.613166,-4.502997,-0.2185162,-1.372126,100.0251,0.007554345,0.009708349
0.5293334,25.01492,8.613113,-4.499671,-0.2180423,-1.369204,100.0046,0.007553946,0.009707541
0.5376668,25.02934,8.613069,-4.49651,-0.2175908,-1.366424,100.0064,0.007553354,0.009706344
0.546,25.04128,8.613064,-4.493458,-0.2171543,-1.363742,99.96856,0.00749714,0.009625556
0.5543332,25.05314,8.613032,-4.489966,-0.2166564,-1.360673,100.0054,0.007496434,0.009624672
0.5626668,25.06365,8.612969,-4.486634,-0.2161808,-1.357744,100.0255,0.007495805,0.009623884
0.5793332,25.09345,8.612975,-4.480103,-0.2152466,-1.352002,99.98031,0.00743835,0.009542919
0.5876668,25.11196,8.612955,-4.47671,-0.214761,-1.349019,100.0209,0.007436286,0.009541564
0.596,25.12274,8.612947,-4.473284,-0.2142702,-1.346006,99.98038,0.007435078,0.009540772
0.6126668,25.14918,8.612955,-4.466702,-0.2133263,-1.340217,99.95938,0.007375145,0.009461071
0.621,25.16391,8.612942,-4.46319,-0.2128233,-1.337128,100.005,0.007373712,0.009459901
0.6293332,25.18305,8.612892,-4.459656,-0.2123169,-1.33402,99.97862,0.007371837,0.009458375
0.6376668,25.19703,8.612884,-4.456154,-0.2118146,-1.33094,99.98791,0.007312066,0.00938015
0.6543334,25.23278,8.612884,-4.448987,-0.2107855,-1.324635,99.99392,0.007250356,0.009300953
0.6626668,25.24883,8.612868,-4.44559,-0.2102969,-1.321646,100.0062,0.007249508,0.009299755
0.671,25.26913,8.612848,-4.442391,-0.2098356,-1.318831,100.0028,0.00724843,0.009298231
0.6793334,25.28424,8.612822,-4.438993,-0.2093469,-1.31584,100.0001,0.007247622,0.009297089
0.6876666,25.30308,8.612778,-4.435368,-0.2088255,-1.312651,100.0178,0.007187963,0.009219575
