Time (min),Temperature (°C),Weight (mg),Heat Flow (mW),Temperature Difference (°C),Temperature Difference (µV),Sample Purge Flow (mL/min),Deriv. Weight (%/°C),Deriv. Heat Flow (W/(g·°C))
0.4293333,33.25567,9.856134,-4.493724,-0.2093594,-1.357779,100.0098,0.001571901,0.01021745
0.4376666,33.27546,9.856147,-4.489639,-0.2087953,-1.354188,100.0308,0.001570906,0.01021519
0.446,33.28792,9.856124,-4.485169,-0.2081791,-1.350261,99.94262,0.001570274,0.01021375
0.4543334,33.30815,9.856121,-4.480909,-0.2075901,-1.346516,99.97911,0.001545355,0.01009739
0.4626666,33.32615,9.856054,-4.47672,-0.2070108,-1.342833,99.98416,0.001544224,0.01009536
0.471,33.35111,9.856022,-4.472198,-0.2063857,-1.338858,100.0299,0.00154264,0.01009253
0.4793334,33.368,9.855975,-4.46747,-0.2057319,-1.334701,99.96041,0.00154156,0.01009059
0.4876666,33.38803,9.855981,-4.462852,-0.2050921,-1.33064,100.0544,0.001514435,0.009975496
0.496,33.41036,9.856007,-4.458139,-0.2044386,-1.326494,100.0156,0.001513792,0.009973028
0.5043333,33.42954,9.856009,-4.453063,-0.2037363,-1.322032,100.0284,0.001513236,0.009970892
0.5126667,33.45321,9.856006,-4.448538,-0.2031074,-1.318051,99.97805,0.001512544,0.009968238
0.521,33.47769,9.856016,-4.443804,-0.2024503,-1.313887,99.979,0.001484992,0.009853624
0.5293334,33.50242,9.856014,-4.439145,-0.2018022,-1.309787,100.0247,0.001483786,0.009851024
0.5376668,33.52575,9.855999,-4.434507,-0.2011566,-1.305706,99.98931,0.001482638,0.009848553
0.546,33.55206,9.855995,-4.429676,-0.2004844,-1.301454,99.96293,0.001453599,0.009735189
0.5543332,33.57912,9.855978,-4.425074,-0.199843,-1.297404,99.96716,0.001452858,0.009732459
0.5626668,33.60447,9.855958,-4.419942,-0.1991295,-1.292888,100.037,0.001452158,0.009729876
0.571,33.631,9.855913,-4.415171,-0.1984643,-1.288688,100.0024,0.001423727,0.009617824
0.5793332,33.66406,9.855836,-4.410196,-0.1977708,-1.284308,99.98994,0.001423833,0.009614601
0.5876668,33.6874,9.855793,-4.405224,-0.1970773,-1.279931,100.006,0.001423911,0.009612306
0.596,33.71448,9.855756,-4.399826,-0.1963263,-1.27518,100.0217,0.001398728,0.009501774
0.6043334,33.75171,9.855728,-4.394636,-0.1956023,-1.27061,100.0159,0.001397938,0.009498288
